
Image Name                     PID Session Name        Session#    Mem Usage
attu.exe                     40700 Console                    1     70,088 K
attu.exe                     45624 Console                    1     19,192 K
attu.exe                     34156 Console                    1    117,012 K
backgroundTaskHost.exe       27308 Console                    1      1,144 K
Apifox.exe                   31180 Console                    1    113,608 K
Apifox.exe                   18872 Console                    1      5,564 K
Apifox.exe                   33380 Console                    1     15,488 K
Apifox.exe                   47792 Console                    1     36,192 K
Apifox.exe                   47148 Console                    1     15,472 K
Apifox.exe                   44912 Console                    1      3,732 K
Apifox.exe                   31644 Console                    1     74,720 K
ApifoxAppAgent.exe           10360 Console                    1      2,968 K
backgroundTaskHost.exe       44252 Console                    1      1,140 K
backgroundTaskHost.exe       19368 Console                    1      1,128 K
backgroundTaskHost.exe       34116 Console                    1      1,164 K
backgroundTaskHost.exe       38236 Console                    1      1,120 K
explorer.exe                 46516 Console                    1     32,368 K
backgroundTaskHost.exe       45296 Console                    1        912 K
backgroundTaskHost.exe       45796 Console                    1        896 K
backgroundTaskHost.exe       43484 Console                    1      1,164 K
backgroundTaskHost.exe       13780 Console                    1      1,080 K
backgroundTaskHost.exe       29232 Console                    1      1,180 K
msedge.exe                   11204 Console                    1     12,784 K
backgroundTaskHost.exe       44408 Console                    1      1,112 K
YoudaoDictHelper.exe         40788 Console                    1      4,772 K
YoudaoDictHelper.exe         29412 Console                    1      4,676 K
YoudaoDictHelper.exe         36144 Console                    1      4,704 K
WeChatAppEx.exe              20592 Console                    1    148,588 K
WeChatAppEx.exe              13708 Console                    1     32,836 K
WeChatAppEx.exe               5628 Console                    1    173,088 K
Weixin.exe                   46276 Console                    1    110,684 K
WeChatAppEx.exe              27460 Console                    1     16,724 K
Weixin.exe                    9456 Console                    1     51,536 K
Weixin.exe                   24560 Console                    1      5,132 K
Weixin.exe                    7048 Console                    1     17,944 K
WeChatAppEx.exe              37508 Console                    1    310,612 K
WeChatAppEx.exe              44040 Console                    1    114,772 K
WeChatAppEx.exe               9088 Console                    1     69,344 K
WeChatAppEx.exe              35180 Console                    1      7,268 K
backgroundTaskHost.exe       37364 Console                    1        728 K
WeChatAppEx.exe              17872 Console                    1      9,544 K
WeChatAppEx.exe              43188 Console                    1     49,648 K
backgroundTaskHost.exe       40740 Console                    1        780 K
backgroundTaskHost.exe       10072 Console                    1        792 K
