
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:25120        0.0.0.0:0              LISTENING       10192
  TCP    127.0.0.1:33211        0.0.0.0:0              LISTENING       11304
  TCP    127.0.0.1:34387        0.0.0.0:0              LISTENING       39256
  TCP    127.0.0.1:35591        0.0.0.0:0              LISTENING       55692
  TCP    127.0.0.1:35591        127.0.0.1:50626        ESTABLISHED     55692
  TCP    127.0.0.1:36510        0.0.0.0:0              LISTENING       61400
  TCP    127.0.0.1:36510        127.0.0.1:50103        ESTABLISHED     61400
  TCP    127.0.0.1:37010        0.0.0.0:0              LISTENING       15068
  TCP    127.0.0.1:37010        127.0.0.1:53759        ESTABLISHED     15068
  TCP    127.0.0.1:37010        127.0.0.1:56869        ESTABLISHED     15068
  TCP    127.0.0.1:37010        127.0.0.1:56873        ESTABLISHED     15068
  TCP    127.0.0.1:37010        127.0.0.1:57836        ESTABLISHED     15068
  TCP    127.0.0.1:37510        0.0.0.0:0              LISTENING       15068
  TCP    127.0.0.1:37866        0.0.0.0:0              LISTENING       61400
  TCP    127.0.0.1:38273        0.0.0.0:0              LISTENING       61400
  TCP    127.0.0.1:38510        0.0.0.0:0              LISTENING       15068
  TCP    127.0.0.1:39797        0.0.0.0:0              LISTENING       21768
  TCP    127.0.0.1:39797        127.0.0.1:55699        ESTABLISHED     21768
  TCP    127.0.0.1:39797        127.0.0.1:55700        ESTABLISHED     21768
  TCP    127.0.0.1:41557        0.0.0.0:0              LISTENING       53784
  TCP    127.0.0.1:41557        127.0.0.1:59941        ESTABLISHED     53784
  TCP    127.0.0.1:42950        0.0.0.0:0              LISTENING       10360
  TCP    127.0.0.1:49666        127.0.0.1:7897         CLOSE_WAIT      19824
  TCP    127.0.0.1:49709        0.0.0.0:0              LISTENING       12168
  TCP    127.0.0.1:49774        127.0.0.1:49775        ESTABLISHED     1664
  TCP    127.0.0.1:49775        127.0.0.1:49774        ESTABLISHED     1664
  TCP    127.0.0.1:49780        127.0.0.1:49781        ESTABLISHED     3868
  TCP    127.0.0.1:49781        127.0.0.1:49780        ESTABLISHED     3868
  TCP    127.0.0.1:49794        127.0.0.1:49795        ESTABLISHED     2168
  TCP    127.0.0.1:49795        127.0.0.1:49794        ESTABLISHED     2168
  TCP    127.0.0.1:49822        127.0.0.1:49823        ESTABLISHED     12540
  TCP    127.0.0.1:49823        127.0.0.1:49822        ESTABLISHED     12540
  TCP    127.0.0.1:49824        127.0.0.1:49825        ESTABLISHED     12540
  TCP    127.0.0.1:49825        127.0.0.1:49824        ESTABLISHED     12540
  TCP    127.0.0.1:50103        127.0.0.1:36510        ESTABLISHED     39256
  TCP    127.0.0.1:50188        127.0.0.1:3080         ESTABLISHED     45624
  TCP    127.0.0.1:50201        127.0.0.1:7897         ESTABLISHED     13708
  TCP    127.0.0.1:50625        0.0.0.0:0              LISTENING       55692
  TCP    127.0.0.1:50625        127.0.0.1:50631        ESTABLISHED     55692
  TCP    127.0.0.1:50626        127.0.0.1:35591        ESTABLISHED     18528
  TCP    127.0.0.1:50631        127.0.0.1:50625        ESTABLISHED     18528
  TCP    127.0.0.1:50632        0.0.0.0:0              LISTENING       18528
  TCP    127.0.0.1:51543        127.0.0.1:7897         ESTABLISHED     19824
  TCP    127.0.0.1:51552        127.0.0.1:7897         TIME_WAIT       0
  TCP    127.0.0.1:51556        127.0.0.1:50632        TIME_WAIT       0
  TCP    127.0.0.1:51583        127.0.0.1:7897         ESTABLISHED     13708
  TCP    127.0.0.1:51836        0.0.0.0:0              LISTENING       18528
  TCP    127.0.0.1:51836        127.0.0.1:51874        ESTABLISHED     18528
  TCP    127.0.0.1:51836        127.0.0.1:60651        ESTABLISHED     18528
  TCP    127.0.0.1:51873        127.0.0.1:51875        ESTABLISHED     18528
  TCP    127.0.0.1:51874        127.0.0.1:51836        ESTABLISHED     22872
  TCP    127.0.0.1:51875        127.0.0.1:51873        ESTABLISHED     6228
  TCP    127.0.0.1:51907        127.0.0.1:51908        ESTABLISHED     6228
  TCP    127.0.0.1:51908        127.0.0.1:51907        ESTABLISHED     6228
  TCP    127.0.0.1:51909        127.0.0.1:51910        ESTABLISHED     6228
  TCP    127.0.0.1:51910        127.0.0.1:51909        ESTABLISHED     6228
  TCP    127.0.0.1:51911        127.0.0.1:51912        ESTABLISHED     6228
  TCP    127.0.0.1:51912        127.0.0.1:51911        ESTABLISHED     6228
  TCP    127.0.0.1:51913        127.0.0.1:51914        ESTABLISHED     6228
  TCP    127.0.0.1:51914        127.0.0.1:51913        ESTABLISHED     6228
  TCP    127.0.0.1:51915        127.0.0.1:51916        ESTABLISHED     6228
  TCP    127.0.0.1:51916        127.0.0.1:51915        ESTABLISHED     6228
  TCP    127.0.0.1:51917        127.0.0.1:51918        ESTABLISHED     6228
  TCP    127.0.0.1:51918        127.0.0.1:51917        ESTABLISHED     6228
  TCP    127.0.0.1:51919        127.0.0.1:51920        ESTABLISHED     6228
  TCP    127.0.0.1:51920        127.0.0.1:51919        ESTABLISHED     6228
  TCP    127.0.0.1:51921        127.0.0.1:51922        ESTABLISHED     6228
  TCP    127.0.0.1:51922        127.0.0.1:51921        ESTABLISHED     6228
  TCP    127.0.0.1:51923        127.0.0.1:51924        ESTABLISHED     6228
  TCP    127.0.0.1:51924        127.0.0.1:51923        ESTABLISHED     6228
  TCP    127.0.0.1:51925        127.0.0.1:51926        ESTABLISHED     6228
  TCP    127.0.0.1:51926        127.0.0.1:51925        ESTABLISHED     6228
  TCP    127.0.0.1:51927        127.0.0.1:51928        ESTABLISHED     6228
  TCP    127.0.0.1:51928        127.0.0.1:51927        ESTABLISHED     6228
  TCP    127.0.0.1:51929        127.0.0.1:51930        ESTABLISHED     6228
  TCP    127.0.0.1:51930        127.0.0.1:51929        ESTABLISHED     6228
  TCP    127.0.0.1:51931        127.0.0.1:51932        ESTABLISHED     6228
  TCP    127.0.0.1:51932        127.0.0.1:51931        ESTABLISHED     6228
